<<<<<<< HEAD
Driver,802.11,Bus interface,WEP,WPA,WPA2,Monitor mode,Master mode,Ad-Hoc mode
acx,"802.11a?, 802.11b, 802.11g","Cardbus, PCI",Yes,?,?,?,?,Yes
an,802.11b,"Cardbus, PCI, ISA",Yes,?,?,?,?,Yes
arl,N/A,ISA,?,?,?,?,?,?
ath,"802.11a, 802.11b, 802.11g, 802.11n","Cardbus, PCI, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
awi,N/A,PC Card,?,?,?,?,Yes,Yes
bwi,"802.11b, 802.11g","Cardbus, PCI",Yes,Yes,Yes,Yes,No,No
cnw,N/A,Cardbus,?,?,?,?,?,?
ipw,802.11b,Mini PCI,Yes,Yes,Yes,Yes,No,Yes
iwi,"802.11a, 802.11b, 802.11g",Mini PCI,Yes,Yes,Yes,Yes,No,Yes
iwn,"802.11a, 802.11b, 802.11g, 802.11n",Mini PCI,Yes,Yes,Yes,Yes,No,No
malo,"802.11b, 802.11g",PCI,Yes,Yes,Yes,Yes,No,No
mwl,"802.11a, 802.11b, 802.11g, 802.11n",PCI,Yes,Yes,Yes,Yes,Yes,No
ral,"802.11a, 802.11b, 802.11g","Cardbus, PCI, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
ray,N/A,PC Card,?,?,?,No,No,Yes
rum,"802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
run,"802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
uath,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
upgt,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
ural,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
urtw,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
wi,802.11b,"PC Card, Cardbus, PCI",Yes,Yes (since 8.0),Yes (since 8.0),Yes (since 8.0?),Yes,Yes
wpi,"802.11a, 802.11b, 802.11g",Mini PCI,Yes,Yes,Yes,Yes,No,Yes
zyd,"802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
=======
Driver,Chipset,Integration,Non-free firmware required[note 1],License,Original/Primary developer,Development
ray,Raytheon Raylink/Webgear Aviator,Integrated / Removed in 8.0,On Device,BSD,Imported from NetBSD,
rsu,Realtek RTL8188SU/RTL8192SU,Integrated since 10.0,Yes,BSD,"Damien Bergamini (OpenBSD), Imported from OpenBSD by Rui Paulo",?
rum,Ralink RT2501USB/ RT2601USB,Integrated,No[43],BSD,Niall O'Higgins and Damien Bergamini,Based on partial documentation
run,Ralink RT2700U/ RT2800U/ RT3000U,Integrated since 8.1,No[43],BSD,"Damien Bergamini (OpenBSD), Imported from OpenBSD by Akinori Furukoshi",Based on partial documentation
uath,Atheros AR5005UG/ AR5005UX,Integrated since 8.0,Yes[44],BSD,"Weongyo Jeong (FreeBSD), Sam Leffler (FreeBSD)",?
upgt,GW3887 (Conexant/Intersil PrismGT series),Integrated since 8.0,Yes,BSD,Imported from OpenBSD,Reverse engineering
ural,Ralink Technology RT2500USB,Integrated,On Device,BSD,Damien Bergamini (OpenBSD/ FreeBSD),Based on partial documentation
urtw,Realtek RTL8187L/ RTL8187B,Integrated since 8.0,N/A[45],BSD,Weongyo Jeong (FreeBSD),?
urtwn,Realtek RTL8188CU/RTL8188EU/RTL8192CU,Integrated since 10.0,Yes,BSD,Damien Bergamini (OpenBSD/FreeBSD),Reverse engineering
wi,"Lucent Hermes (WaveLAN/ ORiNOCO); Intersil PRISM-2, PRISM-2.5, PRISM-3; Symbol Spectrum24 802.11B (Symbol support removed in 8.0)",Integrated,On Device,BSD,Bill Paul (FreeBSD),Documentation based
wpi,Intel PRO/Wireless 3945ABG,Integrated,Yes,BSD,"Damien Bergamini, Benjamin Close",Reverse engineering
zyd,ZyDAS ZD1211/ZD1211B,Integrated,No,BSD,"Florian Stoehr, Damien Bergamini and Jonathan Gray (OpenBSD)",Documentation based
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
