Vehicle,Origin,Manufacturer,Mass to ... (kg),,,Launches (+ suborbital),Date of flight,
N1,Soviet Union,NPO Energia,"95,000[252][253][254][f]",,,4[255] (never reached orbit),1969,1972
N-I,Japan United States,Mitsubishi,"1,200[256]",,,7,1975,1982
N-II,Japan United States,Mitsubishi,"2,000[257]",,,8,1981,1987
Naro-1,South Korea Russia,KARI/Khrunichev,100[258],,,3,2009,2013
NOTS-EV-1 Pilot,United States,United States Navy,1.05[259],,,10,1958,1958
Paektusan,North Korea,KCST,700[260],,,0 (+1),1998,1998
Polyot,Soviet Union,RSC Energia,"1,400",,,2,1963,1964
Proton-K,Soviet Union Russia,Khrunichev,"19,760[261]","4,930[262]",,311[263],1965,2012
PSLV-G,India,ISRO,"3,200[124]","1,050","1,600 to SSO",12[124],1993,2016[264]
Rokot,Russia,Khrunichev,"1,950[265]",,"1,200 to SSO",34[265],1990,2019
Saturn I,United States,Chrysler (S-I) Douglas (S-IV),"9,000[266]",,,10[267],1961,1965[267]
Saturn IB,United States,Chrysler (S-IB) Douglas (S-IVB),"18,600[268]",,,9[269],1966,1975
Saturn V,United States,Boeing (S-IC) North American (S-II) Douglas (S-IVB),"140,000[270][271]",,"47,000 to TLI[272]",13[273][274][g],1967,1973
Scout,United States,US Air Force/NASA,174[275],,,125,1961,1994
Shtil',Russia,Makeyev,280–420[276],,,2[277],1998,2006
SLV,India,ISRO,40[278],,,4[278],1979,1983[278]
Soyuz,Soviet Union,RSC Energia,"6,450",,,31[279],1966,1976
Soyuz-FG,Russia,TsSKB-Progress,"6,900[280]",,,70[134][281],2001,2019
Soyuz-L,Soviet Union,RSC Energia,"5,500",,,3[282],1970,1971
Soyuz-M,Soviet Union,RSC Energia,"6,600",,,8[283],1971,1976
Soyuz-U,Soviet Union Russia,TsSKB-Progress,"6,650 from Baikonour[284] 6,150 from Plesetsk[284]",,,786[134][135][285],1973,2017
Soyuz-U2,Soviet Union Russia,TsSKB-Progress,"7,050",,,72[286],1982,1995
Space Shuttle,United States,ATK (SRBs) Martin Marietta (External tank) Rockwell (Orbiter),"24,400[c]","4,944 with IUS[287] 1,200 with PAM-D[288]","3,550 to escape with IUS[287]",135[289],1981,2011
Sputnik 8K71PS,Soviet Union,RSC Energia,500[290],,,2,1957,1957
Sputnik 8A91,Soviet Union,RSC Energia,"1,327",,,2,1958,1958
Start-1,Russia,MITT,532,,350 to SSO[291],5[292],1993,2006
Strela,Russia,Khrunichev,"1,400[293]",,,3[294],2003,2014
Titan II GLV,United States,Martin Marietta,"3,600[295]",,,11 (+1),1964,1966
Titan II(23)G,United States,Martin Marietta,"3,600[296]",,,13,1988,2003
Titan IIIA,United States,Martin Marietta,"3,100[297]",,,4,1964,1965
Titan IIIB,United States,Martin Marietta,"3,000[298]",,,70,1966,1987
Titan IIIC,United States,Martin Marietta,"13,100[299]",,,36,1965,1982
Titan IIID,United States,Martin Marietta,"12,300[300]",,,22,1971,1982
Titan IIIE,United States,Martin Marietta,"15,400[301]",,,7,1974,1977
Titan 34D,United States,Martin Marietta,"4,515[302]",,,15,1982,1989
Titan IVA,United States,Martin Marietta,"17,110[303]","4,944 with IUS","14,090 to SSO[303] 4,536 to GSO with Centaur 3,550 to escape with IUS",22[304],1989,1998
Titan IVB,United States,Lockheed Martin,"21,682[305]","5,761[305] (9,000 with upper stage)",,17[304],1997,2005
Tsyklon-2A,Soviet Union,Yuzhmash,"3,350[306]",,,8[307],1967,1969
Tsyklon-2,Soviet Union Ukraine,Yuzhmash,"2,820[308]",,,106[309],1969,2006[309]
Tsyklon-3,Soviet Union Ukraine,Yuzhmash,"1,920[310]",,,122[311],1977,2009[311]
Vanguard,United States,Martin,9[312],,,11 (+1),1957,1959
Vector-R,United States,Vector Space Systems,64[313],,,0 (+2),2017,2017
VLS-1,Brazil,"AEB, IAE",380[314],,,2[h] (never reached orbit),1997,2003
Volna,Russia,Makeyev,100[315],,,1 (+5)[277],1995[i],2005[277]
Voskhod,Soviet Union,RSC Energia,"6,000[316]",,,306,1963,1976
Vostok-L,Soviet Union,RSC Energia,,,390 to TLI[317],4,1960,1960
Vostok-K,Soviet Union,RSC Energia,"2,460[318]",,,16,1960,1964
Vostok-2,Soviet Union,RSC Energia,"4,730[318]",,,45,1962,1967
Vostok-2M,Soviet Union,RSC Energia,"1,300[319]",,,93,1964,1991
Soyuz/Vostok,Soviet Union,RSC Energia,"6,000[320]",,,2,1965,1966
Zenit-2,Soviet Union Ukraine,Yuzhnoye,"13,740[321]",,,36[322],1985,2004[323]
Zenit-2M / 2SLB,Ukraine,Yuzhnoye,"13,920[321]",,,2[322],2007,2011
Zenit-3F,Ukraine,Yuzhnoye,,,"1,740 to GEO[324]",4[325],2011,2017
Zenit-3SL,Ukraine,Yuzhmash RSC Energia,"7,000[325]","6,160",,36[325],1999,2014
Zenit-3SLB / 3M,Ukraine,Yuzhmash RSC Energia,,"3,750[325]",,6[325],2008,2013
=======
Antares 110–130,United States,Orbital,"5,100[6]",,"1,500 to SSO",5[6],2013,2014
Ariane 1,Europe,Aérospatiale,"1,400","1,830[186]",,11[186],1979,1986
Ariane 2,Europe,Aérospatiale,,"2,270[186]",,6[186],1986,1989
Ariane 3,Europe,Aérospatiale,,"2,650[186]",,11[186],1984,1989
Ariane 4 40,Europe,Aérospatiale,"4,600[186]","2,105","2,740 to SSO",7[186],1990,1999
Ariane 4 42L,Europe,Aérospatiale,"7,000[186]","3,480","4,500 to SSO",13[186],1993,2002
Ariane 4 42P,Europe,Aérospatiale,"6,000[186]","2,930","3,400 to SSO",15[186],1990,2002
Ariane 4 44L,Europe,Aérospatiale,"7,000[186]","4,720","6,000 to SSO",40[186],1989,2003
Ariane 4 44LP,Europe,Aérospatiale,"7,000[186]","4,220","5,000 to SSO",26[186],1988,2001
Ariane 4 44P,Europe,Aérospatiale,"6,500[186]","3,465","4,100 to SSO",15[186],1991,2001
Ariane 5 G,Europe,EADS Astrium,"18,000[11]","6,900[11]",,16[11],1996,2003
Ariane 5 G+,Europe,EADS Astrium,,"7,100[11]",,3[11],2004,2004
Ariane 5 GS,Europe,EADS Astrium,"16,000[187]","6,600[11]",,6[11],2005,2009[188]
Ariane 5 ES,Europe,EADS Astrium,"21,000[8]","8,000[11]",,8[11],2008,2018
ASLV,India,ISRO[189],150[190],,,4[190],1987,1994
Athena I,United States,Lockheed Martin,795[191],515,,4[192],1995,2001
Athena II,United States,Lockheed Martin,"1,800[193]",,,3[194],1998,1999[195]
Atlas-Centaur,United States,Lockheed,"1,134[196]","2,222[197]",,148,1962,1983
Atlas G,United States,Lockheed,"5,900[198]","2,222","1,179 to HCO[198]",7[198],1984,1989
Atlas H/MSD,United States,Lockheed,"3,630[199]",,,5,1983,1987
Atlas I,United States,Lockheed Martin,"5,900[198]","2,340[198]",,11[198],1990,1997
Atlas II,United States,Lockheed Martin,"6,780[198]","2,810","2,000 to HCO[198]",10[198],1991,1998
Atlas IIA,United States,Lockheed Martin,"7,316[198]","3,180","2,160 to HCO[198]",23[198],1992,2002
Atlas IIAS,United States,Lockheed Martin,"8,618[198]","3,833","2,680 to HCO[198]",30[198],1993,2004
Atlas IIIA,United States,Lockheed Martin,"8,686[198]","4,060","2,970 to HCO[198]",2[198],2000,2004
Atlas IIIB/DEC,United States,Lockheed Martin,"10,759[198]","4,609[198]",,1[198],2002,2002
Atlas IIIB/SEC,United States,Lockheed Martin,"10,218[200]","4,193[198]",,3[198],2003,2005
Black Arrow,United Kingdom,RAE,73[201],,,2 (+2),1969[a],1971
Commercial Titan III,United States,Martin Marietta,"13,100[202]",,,4,1990,1992
Delta 0300,United States,McDonnell Douglas,,340[203],747 to SSO[204],3[205],1972,1973[206]
Delta 0900,United States,McDonnell Douglas,"1,300[207]",,818 to SSO[205],2[205],1972,1972
Delta 1410,United States,McDonnell Douglas,340[208],,,1[205],1975,1975
Delta 1604,United States,McDonnell Douglas,390[209],,,2[205],1972,1973
Delta 1900,United States,McDonnell Douglas,"1,800[205]",,,1[205],1973,1973
Delta 1910,United States,McDonnell Douglas,"1,066[210]",,,1[205],1975,1975
Delta 1913,United States,McDonnell Douglas,328[211],,,1[205],1973,1973
Delta 1914,United States,McDonnell Douglas,,680[212],,2[205],1972,1973
Delta 2310,United States,McDonnell Douglas,336[213],,,3[205],1974,1981
Delta 2313,United States,McDonnell Douglas,,,243 to GEO[214],3[205],1974,1977
Delta 2910,United States,McDonnell Douglas,"1,887[205]",,,6[205],1975,1978
Delta 2913,United States,McDonnell Douglas,"2,000[215]",700[215],,6[205],1975,1976
Delta 2914,United States,McDonnell Douglas,,724[205],,30[205],1974,1979
Delta 3910,United States,McDonnell Douglas,"2,494[205]","1,154 with PAM-D",,10[205],1980,1988
Delta 3913,United States,McDonnell Douglas,816[216],,,1[205],1981,1981
Delta 3914,United States,McDonnell Douglas,,954[205],,13[205],1975,1987
Delta 3920,United States,McDonnell Douglas,"3,452[205]","1,284 with PAM-D",,10[205],1982,1989
Delta 3924,United States,McDonnell Douglas,,"1,104[205]",,4[205],1982,1984
Delta 4925,United States,McDonnell Douglas,"3,400[217]","1,312[205]",,2[205],1989,1990
Delta 5920,United States,McDonnell Douglas,"3,848[218]",,,1[205],1989,1989
Delta II 6920,United States,McDonnell Douglas,"3,983[205]",,,3[205],1990,1992
Delta II 6925,United States,McDonnell Douglas,,"1,447[205]",,14[205],1989,1992
Delta II 7320,United States,Boeing IDS / ULA,"2,865[205]",,"1,651 to SSO",12[205],1999,2015
Delta II 7326,United States,Boeing IDS,,934[205],636 to TLI 629 to HCO,3[205],1998,2001
Delta II 7420,United States,ULA,"3,185[205]",,"1,966 to SSO",14[205],1998,2018
Delta II 7425,United States,Boeing IDS,,"1,100[205]",804 to HCO,4[205],1998,2002
Delta II 7426,United States,Boeing IDS,,"1,058[205]",734 to TLI 711 to HCO,1[205],1999,1999
Delta II 7920,United States,Boeing IDS / ULA,"5,030[205]",,"3,123 to SSO",29[205],1998,2017
Delta II 7925,United States,Boeing IDS / ULA,,"1,819[205]","1,177 to TLI 1,265 to HCO",69[205],1990,2009
Delta II-H 7920H,United States,Boeing IDS / ULA,"6,097[205]",,,3[205],2003,2011
Delta II-H 7925H,United States,Boeing IDS / ULA,,"2,171","1,508 to HCO[205]",3[205],2003,2007
Delta III 8930,United States,Boeing IDS,"8,292[205]","3,810",,3[205],1998,2000
Delta IV M,United States,Boeing IDS,"9,440[27]","4,440","7,690 to polar",3[28],2003,2006
"Delta IV M+(4,2)",United States,ULA,"13,140[27]","6,390","10,250 to polar",14[28],2002,2019
"Delta IV M+(5,2)",United States,ULA,"11,470[27]","5,490","9,600 to polar",3[28],2012,2018
"Delta IV M+(5,4)",United States,ULA,"14,140[27]","7,300","11,600 to polar",8[28],2009,2019
Diamant,France,SEREB,107[219][220],,,12,1965,1975
Dnepr,Ukraine,Yuzhmash,"3,700[221]",,,22[221],1999,2015[222]
Energia[b],Soviet Union,NPO Energia,"100,000[223]",,"20,000 to GEO[223] 32,000 to TLI[223]",1 (failed to orbit)[224],1987,1987
Energia-Buran,Soviet Union,NPO Energia (Launcher) NPO Molniya (Orbiter),"30,000[223][c]",,,1,1988,1988
Falcon 1,United States,SpaceX,470[225],,,5[225],2006,2009
Falcon 9 v1.0,United States,SpaceX,"10,450[226]","4,540[226]",,5[227],2010,2013
Falcon 9 v1.1,United States,SpaceX,"13,150[228][d]","4,850[228]",,15[227],2013,2016
Feng Bao 1,China,Shanghai Bureau No.2,"2,500[229]",,,8 (+3)[230],1972,1981
GSLV Mk.I(a),India,ISRO,"5,000[51]","1,540[231]",,1[231],2001,2001
GSLV Mk.I(b),India,ISRO,"5,000[51]","2,150[231]",,4[231],2003,2007
GSLV Mk.I(c),India,ISRO,"5,000[51]",,,1[231],2010,2010
H-I,Japan United States,Mitsubishi,"1,400[232]",,,9,1986,1992
H-II / IIS,Japan,Mitsubishi,"10,060[233]","4,000[234]",,7[234],1994,1999
H-IIA 2022,Japan,Mitsubishi,,"4,500[58]",,3[58],2005,2007
H-IIA 2024,Japan,Mitsubishi,"11,000[235]","5,000[58]",,7[58],2002,2008
H-IIB,Japan,Mitsubishi,"16,500 (ISS)[60]","8,000",,8[236],2009,2020
J-I,Japan,Nissan Motors[237],"1,000[238]",,,0 (+1),1996,1996
Kaituozhe-1,China,CALT,100[239],,,2,2002,2003
Kosmos-3M,Soviet Union Russia,NPO Polyot,"1,500[240]",,,442[241],1967,2010
Lambda 4S,Japan,Nissan Motors[237],26[242],,,5,1966,1970
Long March 1,China,CALT,300[243],,,2[244],1970,1971
Long March 1D,China,CALT,740[245],,,0 (+3)[244],1995[e],2002
Long March 2A,China,CALT,"2,000[246]",,,4[75],1974,1978
Long March 2E,China,CALT,"9,200[75]",,,7[75],1990,1995
Long March 3,China,CALT,"5,000[77]",,,13[77],1984,2000
Long March 3B,China,CALT,"11,200[76]","5,100","5,700 to SSO",12[77],1996,2012
Long March 4A,China,CALT,"4,000",,,2[78],1988,1990
M-V,Japan,Nissan Motors[237] (1997–2000) IHI Aerospace[31] (2000–2006),"1,850[242]",,,7,1997,2006
Molniya,Soviet Union,RSC Energia,"1,800[247]",,,40[248],1960,1967
Molniya-M,Soviet Union Russia,RSC Energia,"2,400[249]",,,280[250],1965,2010
Mu-3C,Japan,Nissan Motors[237],195[242],,,4,1974,1979
Mu-3H,Japan,Nissan Motors[237],300[242],,,3,1977,1978
Mu-3S,Japan,Nissan Motors[237],300[242],,,4,1980,1984
Mu-3SII,Japan,Nissan Motors[237],770[242],,,8,1985,1995
Mu-4S,Japan,Nissan Motors[237],180[242],,,4,1971,1972
N1,Soviet Union,NPO Energia,"95,000[251][252][253][f]",,,4[254] (never reached orbit),1969,1972
N-I,Japan United States,Mitsubishi,"1,200[255]",,,7,1975,1982
N-II,Japan United States,Mitsubishi,"2,000[256]",,,8,1981,1987
Naro-1,South Korea Russia,KARI/Khrunichev,100[257],,,3,2009,2013
NOTS-EV-1 Pilot,United States,United States Navy,1.05[258],,,10,1958,1958
Paektusan,North Korea,KCST,700[259],,,0 (+1),1998,1998
Polyot,Soviet Union,RSC Energia,"1,400",,,2,1963,1964
Proton-K,Soviet Union Russia,Khrunichev,"19,760[260]","4,930[261]",,311[262],1965,2012
PSLV-G,India,ISRO,"3,200[123]","1,050","1,600 to SSO",12[123],1993,2016[263]
Rokot,Russia,Khrunichev,"1,950[264]",,"1,200 to SSO",34[264],1990,2019
Saturn I,United States,Chrysler (S-I) Douglas (S-IV),"9,000[265]",,,10[266],1961,1965[266]
Saturn IB,United States,Chrysler (S-IB) Douglas (S-IVB),"18,600[267]",,,9[268],1966,1975
Saturn V,United States,Boeing (S-IC) North American (S-II) Douglas (S-IVB),"140,000[269][270]",,"47,000 to TLI[271]",13[272][273][g],1967,1973
Scout,United States,US Air Force/NASA,174[274],,,125,1961,1994
Shtil',Russia,Makeyev,280–420[275],,,2[276],1998,2006
SLV,India,ISRO,40[277],,,4[277],1979,1983[277]
Soyuz,Soviet Union,RSC Energia,"6,450",,,31[278],1966,1976
Soyuz-FG,Russia,TsSKB-Progress,"6,900[279]",,,70[133][280],2001,2019
Soyuz-L,Soviet Union,RSC Energia,"5,500",,,3[281],1970,1971
Soyuz-M,Soviet Union,RSC Energia,"6,600",,,8[282],1971,1976
Soyuz-U,Soviet Union Russia,TsSKB-Progress,"6,650 from Baikonour[283] 6,150 from Plesetsk[283]",,,786[133][134][284],1973,2017
Soyuz-U2,Soviet Union Russia,TsSKB-Progress,"7,050",,,72[285],1982,1995
Space Shuttle,United States,ATK (SRBs) Martin Marietta (External tank) Rockwell (Orbiter),"24,400[c]","4,944 with IUS[286] 1,200 with PAM-D[287]","3,550 to escape with IUS[286]",135[288],1981,2011
Sputnik 8K71PS,Soviet Union,RSC Energia,500[289],,,2,1957,1957
Sputnik 8A91,Soviet Union,RSC Energia,"1,327",,,2,1958,1958
Start-1,Russia,MITT,532,,350 to SSO[290],5[291],1993,2006
Strela,Russia,Khrunichev,"1,400[292]",,,3[293],2003,2014
Titan II GLV,United States,Martin Marietta,"3,600[294]",,,11 (+1),1964,1966
Titan II(23)G,United States,Martin Marietta,"3,600[295]",,,13,1988,2003
Titan IIIA,United States,Martin Marietta,"3,100[296]",,,4,1964,1965
Titan IIIB,United States,Martin Marietta,"3,000[297]",,,70,1966,1987
Titan IIIC,United States,Martin Marietta,"13,100[298]",,,36,1965,1982
Titan IIID,United States,Martin Marietta,"12,300[299]",,,22,1971,1982
Titan IIIE,United States,Martin Marietta,"15,400[300]",,,7,1974,1977
Titan 34D,United States,Martin Marietta,"4,515[301]",,,15,1982,1989
Titan IVA,United States,Martin Marietta,"17,110[302]","4,944 with IUS","14,090 to SSO[302] 4,536 to GSO with Centaur 3,550 to escape with IUS",22[303],1989,1998
Titan IVB,United States,Lockheed Martin,"21,682[304]","5,761[304] (9,000 with upper stage)",,17[303],1997,2005
Tsyklon-2A,Soviet Union,Yuzhmash,"3,350[305]",,,8[306],1967,1969
Tsyklon-2,Soviet Union Ukraine,Yuzhmash,"2,820[307]",,,106[308],1969,2006[308]
Tsyklon-3,Soviet Union Ukraine,Yuzhmash,"1,920[309]",,,122[310],1977,2009[310]
Vanguard,United States,Martin,9[311],,,11 (+1),1957,1959
Vector-R,United States,Vector Space Systems,64[312],,,0 (+2),2017,2017
VLS-1,Brazil,"AEB, IAE",380[313],,,2[h] (never reached orbit),1997,2003
Volna,Russia,Makeyev,100[314],,,1 (+5)[276],1995[i],2005[276]
Voskhod,Soviet Union,RSC Energia,"6,000[315]",,,306,1963,1976
Vostok-L,Soviet Union,RSC Energia,,,390 to TLI[316],4,1960,1960
Vostok-K,Soviet Union,RSC Energia,"2,460[317]",,,16,1960,1964
Vostok-2,Soviet Union,RSC Energia,"4,730[317]",,,45,1962,1967
Vostok-2M,Soviet Union,RSC Energia,"1,300[318]",,,93,1964,1991
Soyuz/Vostok,Soviet Union,RSC Energia,"6,000[319]",,,2,1965,1966
Zenit-2,Soviet Union Ukraine,Yuzhnoye,"13,740[320]",,,36[321],1985,2004[322]
Zenit-2M / 2SLB,Ukraine,Yuzhnoye,"13,920[320]",,,2[321],2007,2011
Zenit-3F,Ukraine,Yuzhnoye,,,"1,740 to GEO[323]",4[324],2011,2017
Zenit-3SL,Ukraine,Yuzhmash RSC Energia,"7,000[324]","6,160",,36[324],1999,2014
Zenit-3SLB / 3M,Ukraine,Yuzhmash RSC Energia,,"3,750[324]",,6[324],2008,2013
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
