<<<<<<< HEAD
,Manufacturer,First public release date,Product line,Launch price (USD),Units sold
Xperia PLAY,Sony Ericsson,"April 1, 2011",Xperia,,
=======
,Main processor,Clock speed,Main memory,Storage,Video memory
Game Boy Micro,Sharp ARM7TDMI,16.78 MHz,"32 KB (32 KiB), 256 KB external",None,96 KB
GPD Win,64-bit Intel Atom x7-Z8750,1.60–2.56GHz max (with Turbo Boost),4GB LPDDR3 RAM,64GB eMMC ROM MicroSD,Intel HD 405 integrated
GPD Win 2,64-bit Intel Core M3-7Y30,1.00 GHz/2.60 GHz max (with Turbo Boost),8GB LPDDR3 RAM,128GB M.2 SSD MicroSD,Intel HD 615 integrated
Gizmondo,32-bit ARM9 / 128-bit Nvidia GPU,400 MHz,64 MB (64 MiB),"64 MB flash (shared with program stack), SD slot",1204 KB
PlayStation Portable,MIPS R4000 32-bit RISC,1 – 333 MHz (variable clock speed),32 MB EDRAM (8 MB reserved for kernel),"Memory Stick Duo slot, Universal Media Disc",2 MB EDRAM
GCW Zero,32-bit Ingenic JZ4770 (MIPS),1000 MHz,512 MB DDR2,"internal 16GB microSD (replaceable), external microSD slot",?
Nintendo DS,ARM9 and ARM7TDMI,67 MHz and 33 MHz,4 MB SRAM,None,656 KB
N-Gage QD,ARM9,104 MHz,3.4 MB,"4 MB flash, MMC slot",N/A
Timetop Gameking 1 & 2,65C02,6 MHz,Unknown,None,N/A
GP2X,ARM920T(host) and ARM940T(video),"200 MHz default, overclockable in software (maximum varies)","64 MB SDRAM, 64 MB NAND flash memory","SD memory cards, NAND flash (SDHC supported in F200 model)","Depends on program used, no dedicated 3D"
GP32,ARM920T,"22–133 MHz default,[22] overclockable in software (maximum varies)",8 MB SDRAM,SmartMedia 8–128 MB,?
Dingoo A320,32-bit Ingenic jz4740 (MIPS R3000 Clone) with XBurst SIMD,336 MHz (Reliably clocks to 430 MHz),32 MB (32 MiB),"4 GB flash, miniSD slot",N/A
Pandora,ARM Cortex-A8,"600 MHz + 430 MHz TMS320C64x+ Core (can be reliably overclocked to 900 MHz), 1 GHz model goes to 1.2 GHz",256 MB / Rebirth edition: 512 MB,"512 MB onboard Flash, 2 SDHC cards: up to 2 times 512 GB (SDXC cards work, but only at SDHC speed [3], so 1 TB is possible)",?
Tapwave Zodiac,Motorola i. Mxi ARM9,200 MHz,32 MB or 128 MB,"32 MB or 128 MB (shared with program stack), 2 SD slots",8 MB
N-Gage,ARM9,104 MHz,"3.4 MB, 32–128 MB external","4 MB flash, MMC slot",N/A
Game Boy Advance SP,Sharp ARM7TDMI and Z80,16.78 MHz and 4.194 MHz,"32 KB, 256 KB external",None,96 KB
Game Boy Advance,Sharp ARM7TDMI and Z80,16.78 MHz and 4.194 MHz,"32 KB, 256 KB external",None,96 KB
Swan Crystal,SPGY-1002,3.072 MHz,512 KB,None,?
WonderSwan Color,SPGY-1002,3.072 MHz,512 KB,None,?
WonderSwan,SPGY-1002,3.072 MHz,512 KB,None,?
Game Boy Color,LR35902,"4 MHz (single), 8 MHz (double)","32 KB, 128 KB external",None,16 KB
Neo Geo Pocket Color,Toshiba TLCS900H,6.144 MHz,64 KB,None,12 KB
Neo Geo Pocket,Toshiba TLCS900H,6.144 MHz,64 KB,None,12 KB
Game.com,Sharp 8-bit CPU,?,?,None,?
Game Boy Light,LR35902,4.194 MHz,8 KB,None,8 KB
Game Boy Pocket,LR35902,4.194 MHz,8 KB,None,8 KB
Sega Nomad,Motorola M68000 & Zilog Z80,7.67 MHz & 4 MHz,64 KB,None,64 KB
Mega Duck/Cougar Boy,unknown VLSI processor,4.194304 MHz,16 KB,?,?
Watara Supervision,8-bit 65C02 or M65C02 VLSI processor,4 MHz,Varied by model[23],?,?
Atari Lynx II,Mikey & Suzy (2 16-bit custom CMOS chips),16 MHz & 16 MHz,"64 KB DRAM, 128–512 KB external",None,(uses main memory)
Game Gear,Zilog Z80 (8-bit),3.58 MHz,8 KB,,16 KB
TurboExpress,Hudson HuC6280 (8-bit),7.159090 MHz,8 KB,None,64 KB
Game Boy,LR35902,4.194304 MHz,"8 KB internal, 256 KB – 8 MB external",None,8 KB
Atari Lynx,Mikey & Suzy (2 16-bit custom CMOS chips),16 MHz & 16 MHz,"64 KB DRAM, 128–512 KB External",None,(uses main memory)
Game Pocket Computer,N/A,N/A,N/A,N/A,N/A
Microvision,Intel 8021/TI TMS1100 (on cartridge),100 kHz,"16 bytes, integrated into CPU",N/A,N/A
Mi2,unknown 32-bit MIPS-based CPU,unknown,unknown,16 GB of Flash + SD-card slot,unknown
Xperia PLAY,Qualcomm Snapdragon S2 MSM8255,1 GHz,512 MB,400 MB + microSD card slot,Adreno 205
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
