QEMU w/ kqemu module,Fabrice Bellard,"x86, x86-64",Same as host,"Linux, FreeBSD, OpenBSD, Solaris, Windows",Changes regularly[7],GPL/LGPL
QEMU w/ qvm86 module,Paul Brook,x86,x86,"Linux, NetBSD, Windows",Changes regularly,GPL
QuickTransit,Transitive Corp.,"x86, x86-64, IA-64, POWER","MIPS, PowerPC, SPARC, x86","Linux, OS X, Solaris","Linux, OS X, Irix, Solaris",Proprietary
RTS Hypervisor,Real-Time Systems GmbH,"x86, x86-64","x86, x86-64",No host OS,"Windows, Linux, Windows Embedded, QNX, RTOS-32, VxWorks, OS-9, T-Kernel",Proprietary
ScaleMP vSMP Foundation,ScaleMP,"x86, x86-64",Same as host,No host OS,Linux,Proprietary
SIMH,"Bob Supnik, The Computer History Simulation Project","Alpha, ARM, HPPA, x86, IA-64, x86-64, M68K, MIPS, MIPSel, POWER, s390, SPARC","Data General Nova, Eclipse; Digital Equipment Corporation PDP-1, PDP-4, PDP-7, PDP-8, PDP-9, PDP-10, PDP-11, PDP-15, VAX; GRI Corporation GRI-909; IBM 1401, 1620, 1130, 7090/7094, System/3; Interdata (Perkin-Elmer) 16b/32b systems; Hewlett-Packard 2114, 2115, 2116, 2100, 21MX; Honeywell H316/H516; MITS Altair 8800 with 8080 and Z80; Royal McBee LGP-30, LGP-21; Scientific Data Systems SDS 940","BSD, Linux, Solaris, VMS, Windows","Depends on target machine, includes NetBSD/VAX, OpenBSD/VAX, VAX/VMS, Unix v6, Unix v7, TOPS-10, TOPS-20, ITS","BSD-like, unique"
Simics,Wind River,"x86, x86-64","8051, 68000, ARM (v4, v5, v6, v7), MIPS32, MIPS64, Cavium cnMIPS, Broadcom XLR MIPS, Freescale (e300, e500, e600, e5500, e6500), IBM (POWER, PPC44x, PPC46x, 47x), SPARC v8 (LEON), SPARC v9 (UltraSparc), x86 (from 80286 to Sandy Bridge), x86-64 (from Pentium4 to Sandy Bridge), TI TMS320C64xx, Renesas H8, Renesas SH","Windows 32-bit and 64-bit, Linux 32-bit and 64-bit","Depends on target machine, typically runs unmodified software stacks from the corresponding real target, including VxWorks, VxWorks 653, OSE, QNX, Linux, Solaris, Windows, FreeBSD, RTEMS, TinyOS, Wind River Hypervisor, VMware ESX, and others",Proprietary
Sun xVM Server,Sun Microsystems,"x86-64, SPARC",Same as host,No host OS,"Windows XP, 2003 Server (x86-64 only), Linux, Solaris",GPL version 3
SVISTA 2004,Serenity Systems International,x86,x86,"Windows, OS/2, Linux","Windows, Linux, OS/2, BSD",Proprietary
TRANGO,"TRANGO Virtual Processors, Grenoble, France","ARM, XScale, MIPS, PowerPC","Paravirtualized ARM, MIPS, PowerPC","No host OS, Linux or Windows as dev. hosts","Linux, eCos, µC/OS-II, WindowsCE, Nucleus, VxWorks",Proprietary
User Mode Linux,"Jeff Dike, other developers","x86, x86-64, PowerPC",Same as host,Linux,Linux,GPL version 2
VirtualBox,"Innotek, acquired by Oracle Corporation","x86, x86-64","x86, x86-64 (with Intel VT-x or AMD-V, and VirtualBox 2 or later)","Windows, Linux, macOS, Solaris, FreeBSD, eComStation","DOS, Linux, macOS,[8] FreeBSD, Haiku, OS/2, Solaris, Syllable, Windows, and OpenBSD (with Intel VT-x or AMD-V, due to otherwise tolerated incompatibilities in the emulated memory management).[9]",GPL version 2; full version with extra enterprise features is proprietary:
Virtual Iron 3.1,"Virtual Iron Software, Inc., acquired by Oracle","x86 VT-x, x86-64 AMD-V","x86, x86-64",No host OS,"Windows, Linux","Proprietary, some components GPLv2[10]"
Virtual PC 2007 (discontinued),Connectix and Microsoft,"x86, x86-64",x86,"Windows Vista (Business, Enterprise, Ultimate), XP Pro, XP Tablet PC Edition","DOS, Windows, OS/2, Linux (SUSE, Xubuntu), OpenSolaris (Belenix)",Proprietary
Windows Virtual PC (discontinued),Connectix and Microsoft,"x86, x86-64 with Intel VT-x or AMD-V",x86,Windows 7,"Windows XP, Windows Vista, Windows 7, Windows Server 2003, Windows Server 2008",Proprietary
Virtual PC 7 for Mac,Connectix and Microsoft,PowerPC,x86,Mac OS X,"Windows, OS/2, Linux",Proprietary
VirtualLogix VLX,VirtualLogix,"ARM, TI DSP C6000, x86, PowerPC",Same as host,No host OS,"Linux, Windows XP, C5, VxWorks, Nucleus, DSP/BIOS, proprietary",Proprietary
Virtual Server 2005 R2,Connectix and Microsoft,"x86, x86-64","x86, x86-64","Windows Server 2003, 2008, XP (Requires IIS)","Windows NT, 2000, 2003, 2008, Linux (Red Hat, SUSE, Ubuntu)",Proprietary
Synopsys (CoWare) Virtual Platform,CoWare,"x86, x86-64, SPARC v9","Devices including (multi) cores from ARM, MIPS, PowerPC, Toshiba MeP, Renesas SH, Texas Instruments, Tensilica, ZSP","Windows, Linux, Solaris","Depends on guest CPU; includes: Linux (various flavors), µITRON (various flavors), Windows CE, Symbian, more",Proprietary
Virtuozzo,"SWsoft, now Virtuozzo Inc","x86, IA-64, x86-64",same as host,Linux,save as host (shared Linux kernel),Proprietary
vkernel,Matthew Dillon / DragonFly BSD,x86-64,same as host,DragonFly BSD,any compatible vkernel binary of DragonFly,BSD
VMM,OpenBSD,"x86, x86-64",same as host,OpenBSD,OpenBSD and Linux guests,BSD
VMware ESX Server,VMware,"x86, x86-64","x86, x86-64",No host OS,"Windows, Linux, Solaris, FreeBSD, OSx86 (as FreeBSD), virtual appliances, Netware, OS/2, SCO, BeOS, Haiku, Darwin, others: runs arbitrary OS[a]",Proprietary
VMware ESXi,VMware,"x86, x86-64","x86, x86-64",No host OS,Same as VMware ESX Server,Proprietary
VMware Fusion,VMware,"x86, x86-64","x86, x86-64",macOS,Same as VMware ESX Server,Proprietary
VMware Server,VMware,"x86, x86-64","x86, x86-64","Windows, Linux",Same as VMware ESX Server,Proprietary
VMware Workstation,VMware,x86-64[b],"x86, x86-64","Windows, Linux",Same as VMware ESX Server,Proprietary
"VMware Player, later VMware Workstation Player",VMware,x86-64[c],"x86, x86-64","Windows, Linux",Same as VMware ESX Server,"Proprietary, free for personal non-commercial use[11][12]"
Wind River Hypervisor,Wind River,"x86, x86-64, PowerPC, ARM",Same as host,No host OS,"Linux, VxWorks, unmodified guests (including MS Windows and RTOSes such ach OSE, QNX and others), bare metal virtual board",Proprietary
Xen,"Xensource, Now Citrix Systems","x86, x86-64, ARM, IA-64 (inactive), PowerPC (inactive)",Same as host,"GNU/Linux, Unix-like","GNU/Linux, FreeBSD, MiniOS, NetBSD, Solaris, Windows 7/XP/Vista/Server 2008 (requires Intel VT-x (Vanderpool) or AMD-V (Pacifica)-capable CPU), Plan 9",GNU GPLv2 +
XCP-ng,By Vates SAS,"x86, x86-64, ARM, IA-64 (inactive), PowerPC (inactive)",Same as host,No host OS,"GNU/Linux, FreeBSD, MiniOS, NetBSD, Solaris, Windows, Windows Server 2008 (with Intel VT-x or AMD-V), Plan 9",GNU GPLv2 +[13]
XenServer,By Citrix Systems,"x86, x86-64, ARM, IA-64 (inactive), PowerPC (inactive)",Same as host,No host OS,"GNU/Linux, FreeBSD, MiniOS, NetBSD, Solaris, Windows 7/XP/Vista/Server 2008 (with Intel VT-x or AMD-V), Plan 9",GNU GPLv2 +
XtratuM,fentISS,"SPARC v8 LEON2/3/4, ARM v7",Same as host,No host OS,"GPOS: Linux, RTOS: LithOS, RTEMS","Proprietary, GPL version 2 depending on versions"
z/VM,IBM,z/Architecture,"z/Architecture, z/VM does not run on predecessor mainframes","No host OS, itself (single or multiple levels/versions deep; e.g., VM/ESA running in z/VM 4.4 in z/VM 5.2 in z/VM 5.1.)","Linux on IBM Z, z/OS, z/VSE, z/TPF, z/VM, VM/CMS, MUSIC/SP, OpenSolaris for System z, predecessors",Proprietary
z LPARs,IBM,z/Architecture,z/Architecture,Integrated in firmware of System z mainframes,"Linux on IBM Z, z/OS, z/VSE, z/TPF, z/VM, MUSIC/SP, and predecessors",Proprietary
Name,Creator,Host CPU,Guest CPU,Host OS(s),Guest OS(s),License
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
