<<<<<<< HEAD
Client,FTP,FTP over SSH,SFTP,FTPS (FTP over SSL),FXP (Site2site transfer),DAV / HTTP(S),Compression,Mode Z / Remote Compression,API / Commandline available,Resume Download,Passive mode,Parallel Transfer[13],Segmented Downloads[13]
Total Commander,Yes,Yes,Yes (plugin),Yes,Yes,Yes (plugin),Yes,?,Yes,Yes,Yes,?,?
Transmit,Yes,No,Yes,Yes,Yes,Yes,No,?,Yes (AppleScript),Yes,Yes,?,?
WebDrive,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes (SFTP),Yes,Yes,Yes,?,?
Windows 7 (ftp.exe),Yes,No,No,No,No,No,No,No,No,?,No,?,?
WinSCP,Yes,Yes,Yes,Yes,No,Yes,Yes (SFTP only),Yes (SCP command),Yes,Yes,Yes,Yes,No
WISE-FTP,Yes,No,Yes,Yes,Yes,No,Yes,Yes,?,?,?,?,?
WS_FTP,Yes,Yes (Pro only),Yes (Pro only),Yes,Yes (Pro only),Yes,Yes (Pro only),No,Yes (Pro only),Yes (Pro only),Yes,?,?
Yummy FTP,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes (AppleScript),Yes,Yes,?,?
Client,FTP,FTP over SSH,SFTP,FTPS (FTP over SSL),FXP (Site2site transfer),DAV / HTTP(S),Compression,Mode Z / Remote Compression,API / Commandline available,Resume Download,Passive mode,Parallel Transfer,Segmented Downloads
=======
Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB limit[1],Interface
cURL,Daniel Stenberg,1998,7.72.0 (19 August 2020; 46 days ago (2020-08-19)[2]) [±],MIT,Yes,CLI
Cyberduck,David V. Kocher,2001,"7.2.5 January 1, 2020; 9 months ago (2020-01-01)",GPL,Yes,GUI and CLI
FAR Manager,Eugene Roshal / FAR Group,1996,3.0 build 5555 (8 February 2020; 7 months ago (2020-02-08)) [±],BSD,Yes,TUI
*FileZilla,Community,2001 (January),3.49.1 (15 July 2020; 2 months ago (2020-07-15)) [±][3],GPL,Yes,GUI
FireFTP,Mime ?uvalo,2004 (September),"2.0.32 (February 1, 2019; 20 months ago (2019-02-01)) [±]","MPL 1.1, Charityware",Yes (since version 2.0.5),"Waterfox, Firefox pre-version 57 addon"
Fugu,University of Michigan Research Systems Unix Group,2003,"1.2.0 May 2, 2005; 15 years ago (2005-05-02)",BSD,?,GUI
gFTP,Brian Masney,1998,"2.0.19 November 30, 2008; 11 years ago (2008-11-30)",GPL,Yes,GTK+
lftp,Alexander V. Lukyanov,1996 (August),"4.9.1 (January 15, 2020; 8 months ago (2020-01-15)[4]) [±]",GPL,Yes,CLI
Macfusion,Michael Gorbach,0 ?,2.0.4,BSD,?,GUI
NcFTP,NcFTP Software Inc.,1991,"3.2.6 November 27, 2016; 3 years ago (2016-11-27)",Clarified Artistic License,Yes,CLI
net2ftp,David C. Gartner,2003 (January),"0.98 March 1, 2013; 7 years ago (2013-03-01)",GPL,?,Web application
Rclone,Nick Craig-Wood,2014 (July),"1.53.1 September 13, 2020; 21 days ago (2020-09-13)",MIT,Yes,CLI
tnftp,Luke Mewburn,1999,"20151004 October 4, 2015; 5 years ago (2015-10-04)",BSD,Yes,CLI
WinSCP,Martin P?ikryl,2000,"5.17.7[5] (July 24, 2020; 2 months ago (2020-07-24)) [±]",GPL,Yes,GUI and CLI
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
