MySQL Workbench,MySQL (An Oracle Company),SMBs - personal,Proprietary or GPL,MySQL,"Linux, Windows, macOS",Standalone,2006
Navicat Data Modeler,PremiumSoft,SMBs and enterprises,Proprietary,"MySQL, MS SQL Server, PostgreSQL, Oracle, SQLite","Windows, macOS, Linux",Standalone,2012
NORMA Object-Role Modeling,Terry Halpin,SMBs and enterprises,CPL,"MySQL, MS SQL Server, PostgreSQL, Oracle, DB2",Windows,Visual Studio Extension,2005
Open ModelSphere,Grandite,Enterprises - SMBs - personal,GNU GPL3,"MS SQL Server, MySQL, PostgreSQL, Oracle, DB2","Windows, macOS, Linux","Standalone with Data, UML, and process modeling",2008
Oracle SQL Developer Data Modeler,Oracle,Enterprises,Proprietary,"Oracle, MS SQL Server, IBM DB2",Cross-platform,Standalone,2009
PowerDesigner,SAP,SMBs and enterprises,Proprietary,"Access, Greenplum, Apache Hive, HP Neoview, IBM DB2, Informix, Ingres, Interbase, MySQL, Netezza, NonStop SQL, Oracle, PostgreSQL, Red Brick Warehouse, SAP business Suite, SAP Hana, SAP Adaptive Server Enterprise, SAP IQ, SAP SQL Anywhere, MS SQL Server, Teradata",Windows,Standalone,1989
Software Ideas Modeler,Dusan Rodina,"Enterprises, SMBs, personal",Proprietary,"MS SQL Server, MySQL",Windows,Standalone,2009
SQLyog,"Webyog, Inc.","Enterprises, SMBs, personal",Proprietary,"MySQL, MariaDB",Windows and Linux (using Wine),Standalone,2001
Toad Data Modeler,Quest Software,SMBs and enterprises,Proprietary,"Access, IBM DB2, Informix, MySQL, MariaDB, PostgreSQL, MS SQL Server, SQLite, Oracle",Windows,Standalone,2005 (before this date known as CaseStudio)
Tool,Creator,Target Business Size,License,Supported Database Platforms,Supported OSs,Standalone or bundled into a larger toolkit,Launch Date
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
