<<<<<<< HEAD
Research Networking Tool,Interoperability with Institutional Enterprise Systems,Interoperability with External Systems,Integration with Add-on Components or Products,"Regional, National, International or Federated Connectivity?"
Esploro,"Yes Esploro provides multiple REST APIs for integration with enterprise systems such as HR Systems, CRIS / RIM, Institutional Repositories, profiles, grant management systems and more. Integration with repositories can be done also via OAI-PMH and Esploro automatically captures data, such as outputs, grants, researchers profiles and more from multiple institutional and cross- institutional systems.","Yes Integration with the, ProQuest‘s Summon Service, ORCID, PubMed, CrossRef, DataCite etc. Files can be imported and exported in formats like DublinCore, DataCite and BibTeX.",Yes,Yes Plans to enable consortium and collaboration capabilities based on Ex Libris Alma Network and Community Zones
EUREKA!TM Enhancing Student Research,No,No,Unknown,No
Expertise @ Maryland,May be possible,No,Unknown,No
Faculty Profile System,No,No,Unknown,No
Faculty Research Information Profile (FRIP),Discontinued. Work on this system ceased; moved on to developing Digital Vita,N/A,N/A,N/A
Faculty Scholarly Productivity Index,Unknown,Unknown,Unknown,No
GENIUS,Yes,"Yes Only other InfoEd modules (SMARTS: Service that automatically sends notices of funding opportunities via email. You provide keywords that describe your research interests, and SMARTS matches those keywords with present funding programs; SPIN: Enables subscribers to directly search for all sponsored programs, past and present, contained within the InfoEd database)",Unknown,No
Google,No,Yes,Possibly,No
HUBzero,No,Yes PubMed; data is semantic web compliant as of August 2011,Possibly,No
iamResearcher,Unknown,Unknown,Unknown,Unknown
iAMscientist,No,Yes PubMed,Unknown,No
i2iConnect,No,No,Unknown,Yes
InCites,Yes (Institutions have access to Web Services in order to feed data into internal databases.),Yes (Integrates with Converis.),"Yes (Web of Science, ResearcherID)",No
INDURE (Indiana Database for University Research Expertise),No,No,Unknown,Yes for 4 Indiana institutions only
Lattes Database,Unknown,Unknown,Unknown,Unknown
LatticeGrid,"Yes InfoEd, eIRB, Medical School faculty database",Yes (PubMed),Yes (Possible),Yes National federated connectivity through DIRECT2Experts
LinkedIn,No,No,Unknown,No
Life Science Network,No,Yes (Pubmed),No,No
Loki,Yes Possible,Yes,Unknown,No
Lyterati,"Yes (Ellucian, PeopleSoft, Workday InfoEd, Coeus)","Yes (PubMed, VIVO, Google Scholar, BibTex or CSV Sources)",Yes (BibTex and CSV),"Yes, capable"
McCormick Collaboration Visualization Tool,No,Yes Only Clarivate Analytics Web of Science,Unknown,No
MizzouLinks,Maybe,No,Unknown,No
MyScienceWork,No,Unknown,Unknown,Yes
OSU:pro,No,Unknown,Unknown,No
Pivot,No,Maybe,Unknown,Unknown
Profiles Research Networking Software,Yes,"Yes Pubmed, commercial sources of publication data, semantic web applications via VIVO ontology.",Yes,"Yes Profiles Users Group has regular conference calls and works on collaborative software development projects. Profiles can perform federated queries across other Profiles instances, and with other products using linked open data (VIVO ontology) and the DIRECT2Experts API."
REACH NC Life Science Experts Visualization Tool,Yes,Yes Through SciVal API,No,No
Research Accelerator,No,No,Unknown,No
ResearcherID,No,"Yes Through ResearcherID download service, institutions can load data into their internal systems. Also is integrated with other Clarivate Analytics offerings, including Web of Science, EndNote, and Research In View",Unknown,No
SciENcv,Yes (is possible through open data exchange standards),Yes,Unknown,No
Symplectic Elements,"Yes Clients have the ability to integrate with existing web profile management systems, export data for business intelligence solutions and easily submit research outcomes for various government assessment exercises. This includes HR, publications, teaching activities, grants, institutional repositories, and any other system providing or consuming research data.","Yes Elements integrates with a variety of external systems including: Altmetric, figshare, ORCID, SHERPA/RoMEO (licensing information), DOAJ (licensing information)",Yes Elements can be linked to all major open repository technologies and an open source [3] is also available.,"Yes Elements public profiling tool, Discovery Module, can be integrated with Direct2Expert."
VIVO,"Yes Data can be ingested from a wide variety of local sources (including HR, grants, course databases, institutional repositories, membership rosters, research interests, and many others) to reflect a complete view of the institution's priorities and efforts.",Yes see mini-grants <https://web.archive.org/web/20121028002514/http://vivoweb.org/blog/2011/01/award-announcement-vivo-collaborative-research-projects-program>; eagle-i; Drupal; many others - any tool that can consume open linked data. Other ongoing collaborations with Wellspring (maintaining VIVO profiles with a focus upon tech transfer and also as a 3rd party implementation service provider) and with Symplectic.,Yes VIVO collaborates with eagle-I on research resources. Future plans include adding many additional data types which are meaningful in the academic research setting. VIVO data are structured using a comprehensive ontology designed for local extension and major ontology "plugins" such as BIBO and eagle-i.,Yes VIVO Consortium received $12.2M NIH ARRA U24 award in 2009 to fully develop software and create national system of federated research expertise directories/research networking systems; All other semantic web-compliant software platforms can be integrated into the consortium (example: Harvard Profiles). Participant in Direct2Experts and VIVO Search
Yaffle,No,No,Unknown,The Canadian research funding councils as well as knowledge mobilization networks across the country (governments and universities) are working to develop a model to share what Yaffle has built
=======
Research Networking Tool,Data Source / Infeed Functionality,Auto Ingest?,Linked Open Data?,Data Export Types
Academic Room,Manual entry of data by users. May be some auto-ingest of PubMed citation data,Unknown,Unknown,Unknown
Activity Insight,"Information typically imported from the following sources: PubMed, Google Scholar, Scopus, Web of Science, RefWorks, Banner, Datatel, PeopleSoft, CampusVue, Jenzabar, Sedona, EndNote, Mendeley, Zotero, BiBTeX, a RESTful web services API, CSV Data Imports, etc. Also supports various methods of manual entry.",Yes,Yes,"RTF, XLS, CSV, PDF, HTML, XML"
C-IKNOW,"Network Surveys, automated upload for any kind of network data including archival, scientometric, webometric and computer log data. Also import data in GraphML, RDF, and DL (used by UCINET)",Yes(for defined data),Yes,"RDF, XML/RDF"
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System),"Automated or on-demand import from PubMed, Google Scholar, Web of Science, Scopus, Banner, PeopleSoft, Web Services, Flat files and Manual Entry. Can be easily configured with any institutional subscription or database.",Yes,Yes,"RTF, XLS, CSV, PDF, HTML, XML, JSON"
Community Academic Profiles - CAP,"CAP automatically generates a profile for all faculty, physicians, students, postdocs and staff (both academic and administrative) in the School of Medicine. Data flows automatically from a variety of source systems.",Yes,Unknown,Unknown
Converis,"Default connection to Clarivate Analytics Web of Science, Scopus, pubmed, europubmed, etc. Ay internal data feed (HR, finance can be configured)",Yes—can be pre-populated and alerts recommend new data,Yes—can be used to power VIVO,"Excel (.xlsx), EndNote (.ciw), BibTex (.bib), XML, JSON, PDF, RTF"
CurvitaTM Profile Manager,Information collected from university systems,Yes,Unknown,Unknown
CUSP - Columbia University Scientific Profiles,Databases for employees and grants; PubMed for publications,Yes,Unknown,Unknown
Digital Vita,"PubMed, some from HR system, direct input from investigators. System authenticates users through an application developed by the IT group that supports the Senior Vice Chancellor of Health Sciences; that system accesses the HR system for data about employees' rank and status (active or not), working with the grants office to get a regular report of data from their proposal database. Manually entered publications/presentations are automatically forwarded to co-authors.",Yes (Some),Yes,"PDF, RTF"
Elsevier's Pure (now integrated with SciVal Experts),"Sources include Scopus, Web of Science, PubMed, Embase, Mendeley, arXiv, Worldcat, CrossRef, Journal TOC, CAB Abstracts, SAO/NASA Astrophysics Data System and SciVal Funding opportunities; Data from institutions' internal systems, including HR data, grants, publications, patents, core facilities/resources, etc. Researchers or proxy users can enter additional content into the profiles, including research statements, research interest keywords, publications, grants, patents, books, creative works, education, researcher datasets, press clippings, awards and honors; free text can also be imported. Integration with all major institutional repositories.",Yes,Yes,"XML, RDF, SPARQL, CSV, CERIF XML, MS Word, Excel, PDF, ATOM/XML web services, EndNote/Reference Manager, BibTex, various government assessment submission formats"
Elsevier's SciVal,Scopus and ScienceDirect usage data,Yes,No,"CSV, PDF, PNG, JPEG"
Epernicus Solutions & Epernicus Network,Data entered by applicant,No,Unknown,Unknown
ERIM Member Profile System (ERIM MIS),"ERIM MIS database, Erasmus Publication Repository, Oracle portal",Yes,Unknown,Unknown
Esploro,"Information is imported from ProQuest‘s Summon Service and from the following sources: PubMed, ORCID, BiBTeX, a RESTful web services API, CSV Data Imports, etc. Also supports methods of manual entry.",Yes,Yes,"RTF, XLS, CSV, PDF, HTML, XML"
EUREKA!TM Enhancing Student Research,Information about faculty research interests,No,Unknown,Unknown
Expertise @ Maryland,Central university faculty database,Yes,Unknown,Unknown
Faculty Profile System,"Manually entered data about the faculty (faculty can enter, a proxy can enter, or designated staff work on maintaining profiles)",No (Faculty status verified by comparison with UC Irvine HR's Academic Personnel system),Unknown,Unknown
Faculty Research Information Profile (FRIP),Discontinued. Work on this system ceased; moved on to developing Digital Vita,N/A,N/A,N/A
Faculty Scholarly Productivity Index,FSP Database (2007–2008),Yes,Unknown,Unknown
GENIUS,InfoEd proprietary grant funding databases,Yes (But only of InfoEd database data. Faculty profile information must be entered manually.),Unknown,Unknown
Google,"Institution's directory, news releases, and other institutional websites",Yes,Yes,"Many types, depending on the format of the file retrieved."
HUBzero,"Comprehensive portal to support virtual research organizations including modular Web 2.0 tools, modeling and simulation tools, computational integration, identity management, workflow, personal profile management, data management, education",Yes,Yes,Unknown
iamResearcher,Unknown,Unknown,Unknown,Unknown
iAMscientist,PubMed,Yes,Unknown,Unknown
i2iConnect,Listings of industry licensing representatives categorized by product and disease categories with matchmaking and collaborator discovery features,Yes,Unknown,Unknown
InCites,"Clarivate Analytics Web of Science, ESI, JCR",No,No,"XML, .mbb, XLS"
INDURE (Indiana Database for University Research Expertise),"Faculty-entered information about research, faculty home pages",Yes? (Partial?),Unknown,Unknown
Lattes Database,Unknown,Unknown,Unknown,Unknown
LatticeGrid,"Medical School Faculty database, PubMed, InfoEd, Northwestern's eIRB database",Yes,Yes,"Microsoft Word, Excel, PDF"
LinkedIn,Information entered manually by user,No,Unknown,Unknown
Life Science Network,PubMed / Information entered manually by user.,No,Yes,CSV (for some modules).
Loki,"Local Medline, PubMed, local NSF award database, local NIH RePORTER database, campus directory services",Yes (Partial),Unknown,Unknown
Lyterati,"PubMed, Google Scholar, BibTex, Ellucian, PeopleSoft, Workday, RESTful APIs, Template Driven Imports, CSV, Excel, Manual Entry Using Webpages, Faculty CVs",Yes,Unknown,"PDF, MS Word, Excel, CSV, Web Services"
McCormick Collaboration Visualization Tool,Clarivate Analytics Web of Science,Yes,Unknown,Unknown
MizzouLinks,Information collected from interviews and imported from a few institutional systems,No,Unknown,Unknown
MyScienceWork,Information input by user,No,Unknown,Unknown
OSU:pro,OSU systems,Yes,Unknown,Unknown
Pivot,"Combines editorially created data on funding opportunities and profiles. Profile data sources from publicly available university organization and faculty member/researcher information, user-generated data, PubMed, Agricola, ERIC, and ProQuest citation databases, indexed faculty/researcher webpages.","Yes (for all citation data from sources listed in DataSource. Profiles editorially created, but user-generated profiles also included)",No,Unknown
Profiles Research Networking Software,"HR systems, PubMed, NIH RePORTER, commercial sources of publication data, institution-provided and user managed data",Yes,Yes,"XML, RDF, SPARQL"
REACH NC Life Science Experts Visualization Tool,"SciVal Experts, RAMSES",Yes,Yes,"RSI, CSV, Web-service API"
Research Accelerator,Information entered by individual members,No,Unknown,Unknown
ResearcherID,"Manually entered biographical and bibliographical information. Members can search Web of Science, Web of Knowledge, and other online collections, or manually enter publication data. Accounts can be created by individuals or by administrators using a web service.",Yes (Partial; profiles created by administrators are pre-populated for individuals to review.),No,None
SciENcv,Information that would normally be found in a curriculum vitae or biosketch,Yes,Unknown,Uses open data exchange standards
Symplectic Elements,"Custom import from any internal data source via API, out of the box automatic bibliographic import (subject to subscriptions where appropriate) from arXiv, Cinii, CrossRef, DBLP, Europe PMC, figshare, PubMed, RePeC, Scopus, Web of Science, with more planned. Secure ORCID integration also available. In-feed from HR/Identity systems, internal grant databases. Integration with all major repository technologies.",Yes Through integrated portals like VIVO and Profiles RNS,Yes Source for linked data,"CSV, CERIF XML, MS Word, Excel, PDF (APA6), ATOM/XML web services, EndNote/Reference Manager, BibTex, RDF (Linked Data), various government assessment submission formats"
UNIWeb,"Users can enter their CV or bibliographic data manually, or import from the Canadian Common CV, PubMed, Google Scholar, Scopus, Web of Science, Bibtek, Endnote.",Unknown,Unknown,"XML, MS Word, Excel"
VIVO,"PubMed, NIH RePORTER, PeopleSoft, internal HR & administrative databases, Scopus (with institutional license), Web of Science (with institutional license); emphasis on verified data sources, many many others being ingested at various institutions.","Yes (manual data entry possible, too)",Yes,"RDF, GraphXML, CSV file"
Yaffle,Memorial University systems,Yes,Unknown,Unknown
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
