<<<<<<< HEAD
File system,Internal snapshotting / branching,encryption,deduplication,Checksum,Persistent Cache,Multiple Devices,compression
DECtape,No,No,No,No,No,No,No
BeeGFS,No,No,Yes,No,No,No,Yes
Level-D,No,No,No,No,No,No,No
RT-11,No,No,No,No,No,No,No
APFS,Yes,Yes,No,No,No,No,Yes
Version 6 Unix file system (V6FS),No,No,No,No,No,No,No
Version 7 Unix file system (V7FS),No,No,No,No,No,No,No
exFAT,No,No,No,No,No,No,No
FAT12,No,No,No,No,No,No,Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[47])
FAT16 / FAT16B / FAT16X,No,No,No,No,No,No,Partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[47])
FAT32 / FAT32X,No,No,No,No,No,No,No
GFS,No,No,?,No,No,No,No
HPFS,?,No,?,No,No,No,No
NTFS,No,Yes,Yes[cc][48],No,No,No,Yes
HFS Plus,No,No[cd],No,No,No,No,No
FFS,No,No,No,No,No,No,No
UFS1,No,No,No,No,No,No,No
UFS2,Yes,No,No,No,No,No,No
HAMMER,Yes,No,Yes,Yes,No,No,No
LFS,Yes,No,No,No,No,No,No
ext,No,No,No,No,No,No,No
Xiafs,No,No,No,No,No,No,No
ext2,No,No,No,No,No,No,No
ext3,No,No,No,No,No,No,No
ext4,No,"Yes, experimental [49]",No,No,No,No,No
NOVA,Yes,No,No,Yes,No,No,No
F2FS,No,"Yes, experimental [50]",No,No,No,No,Yes
Lustre,No,No,No,No,Yes,Yes,No
NILFS,"Yes, continuous[br]",No,No,Yes,No,No,No
ReiserFS,No,No,No,No,No,No,No
Reiser4,?,Yes[ce],?,No,No,No,Yes
OCFS,No,No,No,No,No,No,No
OCFS2,No,No,No,No,No,No,No
XFS,No,No,"Yes, experimental [51]",No,No,No,No
JFS,?,No,?,No,No,No,only in JFS1 on AIX[52]
QFS,No,No,No,No,No,No,No
BFS,No,No,No,No,No,No,No
NSS,Yes,Yes,?,No,No,No,Yes
NWFS,?,No,?,No,No,No,Yes
ODS-2,Yes,No,No,No,No,No,No
ODS-5,Yes,No,No,No,No,No,
UDF,No,No,No,No,No,No,No
VxFS,Yes[cf],No,Yes,No,No,No,No
Fossil,Yes,No,Yes,No,No,No,Yes
ZFS,Yes,Yes[cg],Yes,Yes,Yes,Yes,Yes
Btrfs,Yes,No,Yes,Yes,No,Yes,Yes
Minix V1,No,No,No,No,No,No,No
Minix V2,No,No,No,No,No,No,No
Minix V3,No,No,No,No,No,No,No
VMFS2,No,No,No,No,No,No,No
VMFS3,No,No,No,No,No,No,No
ReFS,?,No,Yes,Yes,No,No,No
ISO 9660,No,No,No[ch],No,No,No,No
Rock Ridge,No,No,No[ch],No,No,No,No
Joliet ("CDFS"),No,No,No[ch],No,No,No,No
SquashFS,No,No,Yes,Yes,No,No,Yes
File system,Internal snapshotting / branching,Filesystem-level encryption,Data deduplication,Data checksums,Persistent Cache,Multiple Devices,compression
=======
File system,Hard links,Symbolic links,Block journaling,Metadata-only journaling,Case-sensitive,Case-preserving,File Change Log,XIP
ZFS,Yes,Yes,Yes[cb],No[cb],Yes,Yes,No,No
Btrfs,Yes,Yes,Yes,Yes,Yes,Yes,?,?
Minix V1,Yes,Yes,No,No,Yes,Yes,No,No
Minix V2,Yes,Yes,No,No,Yes,Yes,No,No
Minix V3,Yes,Yes,No,No,Yes,Yes,No,No
VMFS2,Yes,Yes,No,Yes,Yes,Yes,No,No
VMFS3,Yes,Yes,No,Yes,Yes,Yes,No,No
ReFS,No,Yes,?,?,Yes[bl],Yes,?,?
ISO 9660,No,No,No,No,No,No,No,No
Rock Ridge,Yes,Yes,No,No,Yes,Yes,No,No
Joliet ("CDFS"),No,No,No,No,No,Yes,No,No
SquashFS,Yes,Yes,No,No,Yes,Yes,No,No
File system,Hard links,Symbolic links,Block journaling,Metadata-only journaling,Case-sensitive,Case-preserving,File Change Log,XIP
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
