<<<<<<< HEAD
Client,Multi-server,UTF-8,Proxy server,irc:// URI scheme,Automatic updates,Scripting language
Bersirc,Yes,No,?,?,?,N/A
BitchX,Yes,No,?,?,?,Enhanced IrcII script
ChatZilla,Yes,Yes,Yes,Yes,Yes,JavaScript
Colloquy,Yes,Yes,?,Yes,Yes[Note 1],"AppleScript, Cocoa, F-Script, JavaScript, Python"
degesch,Yes,Yes,Yes,N/A,N/A,Lua
DMDirc,Yes,Partial,?,Yes,Yes,"Custom Actions system, Java plugins"
ERC,Yes,Yes,Yes[Note 2],?,Yes[Note 3],Emacs Lisp
HexChat,Yes,Yes,Yes,Yes,Yes,"Perl, Python, Tcl, Lua[Note 4][Note 4][Note 4][./Comparison_of_Internet_Relay_Chat_clients#cite_note-Features_HexChat_A-88 [Note 4]], JavaScript, C, C++, and via D-Bus."
HydraIRC,Yes,Yes,?,?,Yes,No
IceChat,Yes,Yes,No,Yes,Yes,VBScript
ircII,Yes,Yes[Note 5],?,?,?,IrcII script
IRCjr,No,No,No,No,No,N/A
IRCCloud,Yes,Yes,Yes,Yes,N/A,JavaScript
Ircle,Yes,No,?,?,?,AppleScript
Irssi,Yes,Yes,Yes,No,No,Perl
jIRCii,Yes,Yes,Yes,?,No,Sleep
KiwiIRC,Yes,Yes,Yes,Yes,N/A,"JavaScript, Node.js"
Konversation,Yes,Yes,Yes,Yes,?,"Shell script, Ruby, Python, Perl, Java, C++, C#, JavaScript[Note 6][Note 6][Note 6][./Comparison_of_Internet_Relay_Chat_clients#cite_note-Features_Konversation_A-90 [Note 6]]"
KVIrc,Yes,Yes,Yes,Yes,No,"KVS (custom), Perl, Python, C++"
LeafChat,Yes,Yes,?,N/A,Yes,Java
LimeChat,Yes,Yes,?,?,?,N/A
Linkinus,Yes,Yes,Yes,Yes,Yes,"AppleScript, Cocoa"
Mibbit,Yes,Yes,?,Yes,N/A,N/A
mIRC,Yes,Yes,Yes,Yes,Yes[Note 7],mIRC script
Nettalk,Yes,Yes,SOCKS,Yes,Yes,"VBScript, custom"
Opera,Yes,Yes,?,Yes,Yes,N/A
PIRCH,Yes,No,?,?,No,Yes
PJIRC,Yes,Yes,?,?,No,"Partial, JavaScript"
Quassel,Yes,Yes,Yes,?,No,No
qwebirc,No,Yes,No,Yes,Yes,No
rcirc,Yes,Yes,?,?,No,Emacs Lisp
Smuxi,Yes,Yes,Yes,?,?,Yes (language agnostic)
Snak,Yes,Yes,?,?,?,"AppleScript, IrcII script"
Visual IRC,Yes,No,?,?,?,Versus
WeeChat,Yes,Yes,Yes,Yes,?,"C, Perl, Python, Ruby, Lua, Tcl, Scheme (Guile)"
Client,Multi-server,UTF-8,Proxy server,irc:// URI scheme,Automatic updates,Scripting language
=======
Client,"Windows 7, Vista","XP, 2000",NT 4.0,NT 3.x,"Me, 98",95,3.1x,ReactOS,macOS (Intel/PPC),OS 9,OS 8,System 7 (PPC/68k),"BeOS, Haiku","OS/2, eCS, ArcaOS",AmigaOS (68k),"AmigaOS 4, MorphOS (PPC)",DOS
Quassel,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
qwebirc,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
rIRC,Yes,Yes,Yes,?,?,?,?,?,No,No,No,No,No,No,No,No,No
rcirc,Yes,Yes,?,?,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Scrollback,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Smuxi,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Snak,No,No,No,No,No,No,No,No,Yes,Yes,Yes,?,No,No,No,No,No
Visual IRC,Yes,Yes,Yes,No,Yes,Yes,No,?,No,No,No,No,No,No,No,No,No
WeeChat,Partial[Note 1],Partial[Note 1],Partial[Note 1],No,Partial[Note 1],Partial[Note 1],No,?,Yes,No,No,No,Partial,No,No,No,No
Client,"Windows 7, Vista","XP, 2000",NT 4.0,NT 3.x,"Me, 98",95,3.1x,ReactOS,OS X (Intel/PPC),OS 9,OS 8,System 7 (PPC/68k),"BeOS, Haiku","OS/2, eCS",AmigaOS (68k),"AmigaOS 4, MorphOS (PPC)",DOS
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
