,E:read-write,Read and write,No,13,,,,
,"E:not(s1, s2)",Negations,No,No,No,No,No,No
,"E:matches(s1, s2)",Matches-any,,,No[g 8],,,
,E:has(s1),Relational pseudo-class,,,No,,,
,E:dir(ltr),Directionality,,,17[g 9],,,
,"E:lang(zh, *-hant)",Languages,,,No,,,
,E:any-link,Hyperlink,,,50.0[g 10],,,
,E:local-link,Local link,,,No,,,
,E:local-link(0),Local link,,,,,,
,E:scope,Contextual reference,,,20[g 11],,,
,E:current,Time-dimensional : current,,,No,,,
,E:current(s),Time-dimensional : current,,,,,,
,E:past,Time-dimensional : past,,,,,,
,E:future,Time-dimensional : future,,,,,,
,E:nth-match(n of selector),Nth child of,,,,,,
,E:nth-last-match(n of selector),Nth last child of,,,,,,
,E:column(selector),Column,,,,,,
,E:nth-column(n),Nth column,,,,,,
,E:nth-last-column(n),Nth last column,,,,,,
,E:placeholder-shown,placeholder text,,,,,,
,E:active-drop,will receive the item,,,,,,
,E:valid-drop,could receive the item,,,,,,
,E:invalid-drop,cannot receive the item,,,,,,
Pseudo-elements,,,,,,,,
CSS2,E:first-letter,First letter,9.0,12,1.0,85,Yes,1.0
,E:first-line,First line,,,,Partial,,
,E:before,Before,8.0,,1.9.1,Partial,,
,E:after,After,,,,,,
selectors-3,E::before,Double colon notation,9.0,12,1.9.1,Partial,3.4,1.0
,E::after,Double colon notation,,,,,,
,E::first-letter,Double colon notation,,,1.5,85,,
,E::first-line,Double colon notation,,,,Partial,,
css-pseudo-4,E::marker[spec 5],list marker,No,No,No,No,No,No
,E::selection,Selection,9.0,12,Experimental[g 12],412,3.4,2.1
CSS UI pseudo elements,E::value,user interface element fragments[spec 6],No,No,No,No,No,No
,E::choices,,,,,,,
,E::repeat-item,,,,,,,
,E::repeat-index,,,,,,,
=======
Numbers[spec 11],,,,,,,,
CSS2,<number>,A floating-point number,3.0,12,1.0,85,Yes,1.0
,<length>,<number> followed by units,,,,,,
,<percentage>,<number> followed by %,,,,,,
,<integer>,An integer,,,,,,
css-values-3,<angle>,<number> angle-unit,9.0[t 1],12,Yes,Partial,Partial,Partial
,<time>,<number> time-unit,,,2.0[g 50],Yes,Yes,2.5
,<frequency>,<number> frequency-unit,No,No,No,,,No
,<fraction>,Remaining space,,,,No,No,
Strings,,,,,,,,
CSS2,<string>,String,3.0,12,1.0,85,Yes,1.0
,\code,Unicode escapes,6.0,,,,,
Functions,,,,,,,,
CSS2,rect(),A rectangle,8.0,12,1.0,85,Yes,1.0
,url(),Uniform Resource Identifier,3.0,12,1.0,85,Yes,1.0
,counter(),,8.0,,,,,
,attr(),Attribute identifier,,,,,,
css-values-3,calc(),,9.0[t 1],12,16.0[g 61],Yes[w 36],No,No
,toggle(),Toggling between values,No,No,No[g 62],No,No,No
css- grid-1 ?,repeat(),Repeat n times,No,No,32.0[g 63],No,No,No
Colors,,,,,,,,
CSS2,HTML4 color keywords,16 predefined web colors,3.0,12,1.0,85,Yes,1.0
,#rrggbb or #rgb,Hexadecimal notation,,,,,,
,"rgb(r, g, b)",RGB notation,4.0,,,,,
,system colors[spec 12],28 predefined system colors,3.0,,,,,
css-color-3,SVG color keywords,,8.0,12,Yes,Yes,Yes,Yes
,currentColor,The value of the color property.,9.0[t 1],,1.8,528,Yes,2.1
,"rgba(r, g, b, a)",RGBA notation,,,1.9,525,4.0,2.2
,"hsl(h, s, l)",HSL notation,,,1.5,,3.5.5,2.1
,"hsla(h, s, l, a)",HSLA notation,,,1.9,,3.5.5,2.2
,transparent,Full transparency,9.0,,1.9,,4.0,Partial
Image values,,,,,,,,
CSS2,<url>,Image types,3.0,12,1.0,85,Yes,1.0
css- images-3,<sprite>,,No,No,No,No,No,No
,<image-list>,,,,No,No,,No
,<linear-gradient>,,10.0[t 52],12,16.0,Yes,,Experimental
,<radial-gradient>,,,,,,,
,linear-gradient(),Color gradients,,,,,,
,radial-gradient(),,,,,,,
,repeating-linear-gradient(),,,,,,,
,repeating-radial-gradient(),,,,,,,
css- images-4,conic-gradient(),,No,No,No,No,No,No
,repeating-conic-gradient(),,,,,,,
,element(),Reproduce element,No,No,Experimental,No,No,No
,cross-fade(),Transitioning between images,No,No,No[g 64],No,No,No
,image-set(),Resolution negotiation,No,No,No,No,No,No
Counter Styles[spec 13],,,,,,,,
css- counter- styles-3,symbols(),Anonymous Counter Styles,No,No,No,No,No,No
Keywords,,,,,,,,
CSS2,auto,Automatically calculated,6.0,12,1.0,85,Yes,1.0
,inherit,Inherited from the parent,8.0,,,,,
css-values-3,initial,,No,13,19.0,125,No,No
Units,,,,,,,,
CSS2,px,Pixel,3.0,12,1.0,85,Yes,1.0
,pt,Point,,,,,,
,pc,Pica,,,,,,
,cm,Centimetre,,,,,,
,mm,Millimetre,,,,,,
,in,inch,,,,,,
,em,em,,,,,,
,ex,ex,,,,,,
,%,Percentage,,,,,,
css-values-3,deg,Degree,9.0[t 1],12,1.9.1,Yes,Yes,2.5
,grad,Grad,,,,,,
,rad,Radian,,,,,,
,turn,turn,,,13.0[g 65],No,No,No
,ms,Millisecond,,,2.0[g 66],Yes,Yes,2.5
,s,Second,,,,,,
,Hz,Hertz,No,No,No,,,No
,kHz,Kilohertz,,,,,,
,dpi,Dots per inch,,12,1.9.1,No,4.1,2.5
,dpcm,Dots per centimetre,,,,,,
,dppx,Dots per pixel-unit,,,16.0,No,?,No
earlier draft of css-line- grid-1,gd,Cells in the layout-grid,,No,No,No,No,No
unit being considered for css- template- 3,fr,Remaining space in a series of length values,,12,No,No,No,No
css-values-3,rem,the font size of the root element,9.0[t 1],,1.9.2,Yes,No,2.10.229[p 7]
,vw,the viewport's width,,,19.0[g 3],28.0[w 37],No,No
,vh,the viewport's height,,,,,,
,vmin,equal to the smaller of ‘vw’ or ‘vh’.,No,,,,,
,vmax,equal to the larger of ‘vw’ or ‘vh’.,,,,,,
,ch,"the width of the "0" (ZERO, U+0030) glyph found in the font for the font size used to render.",No,,1.9.1,No,No,No
Filter Effects,,,,,,,,
filter- effects,,,,,,,,
,grayscale(),,No,13,35.0[g 67],18.0[w 38],No,No
,sepia(),,,,,,,
,saturate(),,,,,,,
,hue-rotate(),,,,,,,
,invert(),,,,,,,
,opacity(),,,,,,,
,brightness(),,,,,,,
,contrast(),,,,,,,
,blur(),,,,,,,
,drop-shadow(),,,,,,,
,Variables,,,,,,,
css- variables- 1,,,,,,,,
,--*,define variable,No,No,31.0[g 68],Experimental [citation needed],No,No
,var(--*),use variable,,,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto
