Vehicle,Origin,Manufacturer,Payload mass to ... (kg),,,"Orbital launches incl. failuresSuborbital flight tests and on-pad explosions are excluded, but launches failing en route to orbit are included.",Date of flight,
PSLV-XL,,ISRO,3800[126],1300,1750 to SSO 550 to TMI[127],21[126],2008,2019
Qased,,Operator: Iranian Revolutionary Guard Corps,,,,1,2020,2020
RS1,,ABL Space Systems,1350[128],400,1000 to SSO 750 to MEO,0,2021[129],
Safir,,Iranian Space Agency,65[130],,,"7[130]Additionally, two rockets exploded on the launch pad, one in 2012 and one in 2019.[130]",2008,2019
Shavit,,IAI,300[131],,,10[132],1988,2020
Simorgh,,Iranian Space Agency,350[133],,,2[133]A suborbital test flight succeeded in 2016; both orbital flights in 2017 and 2019 failed.[133],2017,2019
Soyuz-2.1a,,TsSKB-Progress,7020 from Baikonur[134],,,33[135][136][137],"2006Suborbital test flight in 2004, without Fregat upper stage.[135]",2019
Soyuz-2.1b,,TsSKB-Progress,8200 from Baikonur[134],2400[138],,32[136][139],2006,2019
Soyuz ST-A,Europe,TsSKB-Progress Arianespace,7800 from Kourou[140],2810 with Fregat[141],,6[136],2011,2018
Soyuz ST-B,Europe,TsSKB-Progress Arianespace,9000 from Kourou[142],3250 with Fregat[141],4400 to SSO[143],16[136],2011,2019
Soyuz-2-1v,,TsSKB-Progress,2800[144],,1400 to SSO,5[144],2013,2019
Soyuz-5 / Irtysh,,TsSKB-Progress RSC Energia,"18,000[145]",,"2,500 to GEO",0,2022[146][147],
Space Launch System Block 1with ICPS,,NASA / Boeing (core) Northrop Grumman (SRBs),"95,000[148]",,"26,000 to TLI[148]",0,2021[149],
SLS Block 1Bwith EUS,,NASA / Boeing Northrop Grumman,"105,000[150]",,"37,000 to TLI[148]",0,2025[151],
SLS Block 2with EUS and advanced boosters,,NASA / Boeing Northrop Grumman,"130,000[152]",,"45,000 to HCO[148]",0,late 2020s (TBD),
SS-520,,IHI Aerospace,4[153],,,2[154],"2017[155]A prior version of the SS-520 flew twice as a suborbital sounding rocket in 1998 and 2000. In 2017, the addition of a small third stage enabled orbital launches of ultra-light nano- or picosatellites.[153]",2018
SSLV,,ISRO,500[156],,300 to SSO,0,2020[157],
Starship[158] (Single launch),,SpaceX,"100,000+[158][159]","21,000[160]",,0,2021 (orbital)[161],
Starship[158] (Additional refuelling launches),,SpaceX,"100,000+[158][162]","100,000+ [158]","100,000+ to Mars surface[158] 100,000+ to lunar surface[158]",0,2021-2023 (TBD)[163],
Terran 1,,Relativity Space,1250[164],,900 to SSO,0,2021[165],
Unha,North Korea,KCST,100[166],,,4[167],"2009A suborbital test flight failed in 2006. The first two orbital missions failed in 2009 and 2012, and the rocket finally reached orbit in late 2012.[167]",2016
Vector-R,,Vector Launch,64,,,0 (+2),2017,2017
Vega,Europe,ESA / ASI,1500name=700kmReference altitude 700 km[168],,1330 to SSO[169],15[170],2012,2019
Vega C,Europe,ESA / ASI,2200name=700km[171],,,0,2021[172],
Vega E,Europe,ESA / ASI,3000name=700km[173],,,0,2025[174],
Vikram l[175],,Skyroot Aerospace[176],280,,200 to SSPO,0,2021[177],
Vikram ll[175],,Skyroot Aerospace,520,,410 to SSPO,0,TBATo be announced,
Vikram lll[175],,Skyroot Aerospace,720,,580 to SSPO,0,TBATo be announced,
Vulcan / Centaur,,ULA,27200[178],14400[178],"7,200 to GEO[178] 12,100 to TLI",0,2021[179],
Yun Feng,,National Chung-Shan Institute of Science and Technology,200[180],,,0,TBATo be announced,
Yenisei[181],,TsSKB-Progress RSC Energia,"88,000 – 115,000[147]",,"27,000 to TLI[182][183][184]",0,2028[183],
Zero,,Interstellar Technologies,,,100 to SSOname=500km[185],0,2022–2023[186],
Zhuque-1,,LandSpace,300[187],,200 to SSO,1[188],2018[188],2018
Zhuque-2,,LandSpace,"4,000[189]",,"2,000 to SSO",0,2021[190],
