GeForce 6600,"August 12, 2004",,,,,275 400,8:3:8:4,2400,,2400,,,8.8 12.8,DDR DDR2,
GeForce 6600 GT,"August 12, 2004 (PCIe) November 14, 2004 (AGP)",,,,500,475 (AGP) 500 (PCIe),,4000,2000,4000,375,,15.2[9] (AGP) 16 (PCIe),GDDR3,
GeForce 6800 LE,"July 22, 2004 (AGP) January 16, 2005 (PCIe)","NV40 (AGP) NV41, NV42 (PCIe)",IBM 130 nm,,320 (AGP) 325 (PCIe),350,8:4:8:8,2560 (AGP) 2600 (PCIe),2560 (AGP) 2600 (PCIe),2560 (AGP) 2600 (PCIe),320 (AGP) 325 (PCIe),128,22.4,DDR,256
GeForce 6800 XT,"September 30, 2005",,,,300 (64 Bit) 325,266 (64 Bit) 350 500 (GDDR3),,2400 2600,2400 2600,2400 2600,300 325,256,4.256 11.2 22.4 32 (GDDR3),DDR DDR2 GDDR3,64[10] 128[11] 256
GeForce 6800,"April 14, 2004 (AGP) November 8, 2004 (PCIe)",,,,325,350,12:5:12:12,3900,3900,3900,406.25,128 256,22.4,DDR,256
GeForce 6800 GTO,"April 14, 2004",NV45,,PCIe ×16,,450,,4200,4200,4200,437.5,256,28.8,GDDR3,
GeForce 6800 GS,"November 7, 2005 (PCIe) December 8, 2005 (AGP)",NV42 (PCIe) NV40 (AGP),TSMC 110 nm,AGP 8× PCIe ×16,425 (PCIe) 350 (AGP),500,,5100,5100,5100,531.25,128 256,32,,
GeForce 6800 GT,"May 4, 2004 (AGP) June 28, 2004 (PCIe)",NV40 (AGP) NV45 (PCIe),IBM 130 nm,AGP 8× PCIe ×16,350,,16:6:16:16,5600,5600,5600,525,,,,
GeForce 6800 Ultra,"May 4, 2004 (AGP) June 28, 2004 (PCIe) March 14, 2005 (512 MB)",,,,400,525 (512 MB) 550 (256 MB),,6400,6400,6400,600,256 512,33.6 (512 MB) 35.2 (256 MB),,
GeForce 6800 Ultra Extreme Edition,"May 4, 2004",NV40,,AGP 8×,450,600,,7200,7200,7200,675,256,35.2,,
Model,Launch,Code name,Fab (nm)[2],Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit)
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
