Pine,"mbox, mbx, MIX, maildir (with patches), MMDF, tenex, mtx, MH, mx, news, phile",,,,,,,,,,,,,,,,,
Pocomail,mbox,,,,,,,,,,,,,,,,,
RoundCube,[IMAP Server],,,,,,,,,,,,,,,,,
i.Scribe / InScribe,Proprietary (sqlite),,,,,,,,,,,,,,,,,
SeaMonkey Mail & Newsgroups,mbox,,,,,,,,,,,,,,,,,
SquirrelMail,[IMAP Server],,,,,,,,,,,,,,,,,
Sylpheed,MH,,,,,,,,,,,group=NoteGrepMH,group=NoteGrepMH,,,,,
The Bat!,Proprietary,Yes (AES 128 bit) (with Pro and Voyager version) group=NoteTBEncryptedDB,,,,,,,,,,,,,,,,
Trojitá,IMAP,,,,,,,,,,,,,,,,,
Turnpike,Proprietary,,,,,,,,,,,,,,,,,
Windows Live Mail,File System (.eml),,,,,,,,,,,,,,,,,
Windows Mail,,,,,,,,,,,,,,,,,,
YAM,"mbox, maildir, oe-dbx",,,,,,,,,,,,,,,,,
Zimbra,File system,,,,,,,,,,,,,,,,,
Client,Message file format,Encrypted database,Virtual folders,Scheduled backup,New mail notification,,,,Customizable interface,Customizable keybindings,Fragmented messages group=NoteFragmentedMessages,Database search with regular expressions support,Indexed search,Search folders group=NoteSearchfolders,IMAP,,,
,,,,,ticker,tray icon,tooltip,sound,,,,,,,Search,IDLE,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
